"ID","Name","Station","Latitude","Longitude","Elevation","Depth","Avg_Depth","Beginning_Year","Ending_Year","Missing_Years","Percentage_Missing_Values","Number_of_Full_Years","Filename"
11,"grassland-soil-1","BIEBRZA_S-1",53.63502,22.98104,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-1/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
12,"grassland-soil-1","BIEBRZA_S-1",53.63502,22.98104,112.2,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-1/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
13,"grassland-soil-1","BIEBRZA_S-1",53.63502,22.98104,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-1/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
14,"grassland-soil-2","BIEBRZA_S-1",53.63398,22.98128,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-2/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-2_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
15,"grassland-soil-2","BIEBRZA_S-1",53.63398,22.98128,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-2/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-2_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
16,"grassland-soil-2","BIEBRZA_S-1",53.63398,22.98128,112.2,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-2/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-2_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
17,"grassland-soil-2","BIEBRZA_S-1",53.63398,22.98128,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-2/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-2_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
18,"grassland-soil-3","BIEBRZA_S-1",53.63294,22.98151,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-3/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-3_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
19,"grassland-soil-3","BIEBRZA_S-1",53.63294,22.98151,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-3/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-3_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
20,"grassland-soil-3","BIEBRZA_S-1",53.63294,22.98151,112.2,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-3/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-3_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
21,"grassland-soil-3","BIEBRZA_S-1",53.63294,22.98151,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-3/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-3_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
22,"grassland-soil-4","BIEBRZA_S-1",53.6319,22.98174,110.7,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-4/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-4_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
23,"grassland-soil-4","BIEBRZA_S-1",53.6319,22.98174,110.7,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-4/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-4_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
24,"grassland-soil-4","BIEBRZA_S-1",53.6319,22.98174,110.7,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-4/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-4_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
25,"grassland-soil-4","BIEBRZA_S-1",53.6319,22.98174,110.7,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-4/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-4_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
26,"grassland-soil-5","BIEBRZA_S-1",53.63086,22.98197,110.7,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-5/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-5_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
27,"grassland-soil-5","BIEBRZA_S-1",53.63086,22.98197,110.7,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-5/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-5_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
28,"grassland-soil-5","BIEBRZA_S-1",53.63086,22.98197,110.7,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-5/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-5_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
29,"grassland-soil-5","BIEBRZA_S-1",53.63086,22.98197,110.7,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-5/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-5_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
30,"grassland-soil-6","BIEBRZA_S-1",53.63489,22.9793,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-6/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
31,"grassland-soil-6","BIEBRZA_S-1",53.63489,22.9793,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-6/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
32,"grassland-soil-6","BIEBRZA_S-1",53.63489,22.9793,112.2,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-6/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
33,"grassland-soil-6","BIEBRZA_S-1",53.63489,22.9793,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-6/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-6_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
34,"grassland-soil-7","BIEBRZA_S-1",53.63384,22.97952,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-7/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
35,"grassland-soil-7","BIEBRZA_S-1",53.63384,22.97952,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-7/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
36,"grassland-soil-7","BIEBRZA_S-1",53.63384,22.97952,112.2,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-7/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
37,"grassland-soil-7","BIEBRZA_S-1",53.63384,22.97952,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-7/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-7_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
38,"grassland-soil-8","BIEBRZA_S-1",53.6328,22.97976,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-8/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
39,"grassland-soil-8","BIEBRZA_S-1",53.6328,22.97976,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-8/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
40,"grassland-soil-8","BIEBRZA_S-1",53.6328,22.97976,112.2,"0.2-0.2",0.2,2015,2017,NA,0,3,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-8/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
41,"grassland-soil-8","BIEBRZA_S-1",53.6328,22.97976,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-8/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-8_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
42,"grassland-soil-9","BIEBRZA_S-1",53.63176,22.98,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-9/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-9_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
43,"grassland-soil-9","BIEBRZA_S-1",53.63176,22.98,112.2,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-9/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-9_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
44,"grassland-soil-9","BIEBRZA_S-1",53.63176,22.98,112.2,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-9/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-9_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
45,"grassland-soil-9","BIEBRZA_S-1",53.63176,22.98,112.2,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-9/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-9_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
46,"marshland-soil-11","BIEBRZA_S-1",53.60373,22.87763,110.9,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-11/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-11_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
47,"marshland-soil-11","BIEBRZA_S-1",53.60373,22.87763,110.9,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-11/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-11_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
48,"marshland-soil-11","BIEBRZA_S-1",53.60373,22.87763,110.9,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-11/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-11_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
49,"marshland-soil-11","BIEBRZA_S-1",53.60373,22.87763,110.9,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-11/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-11_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
50,"marshland-soil-12","BIEBRZA_S-1",53.60449,22.87979,110.9,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-12/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-12_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
51,"marshland-soil-12","BIEBRZA_S-1",53.60449,22.87979,110.9,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-12/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-12_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
52,"marshland-soil-12","BIEBRZA_S-1",53.60449,22.87979,110.9,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-12/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-12_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
53,"marshland-soil-12","BIEBRZA_S-1",53.60449,22.87979,110.9,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-12/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-12_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
54,"marshland-soil-13","BIEBRZA_S-1",53.60526,22.88196,110.9,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-13/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-13_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
55,"marshland-soil-13","BIEBRZA_S-1",53.60526,22.88196,110.9,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-13/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-13_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
56,"marshland-soil-13","BIEBRZA_S-1",53.60526,22.88196,110.9,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-13/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-13_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
57,"marshland-soil-13","BIEBRZA_S-1",53.60526,22.88196,110.9,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-13/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-13_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
58,"marshland-soil-14","BIEBRZA_S-1",53.60501,22.87634,112.3,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-14/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-14_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
59,"marshland-soil-14","BIEBRZA_S-1",53.60501,22.87634,112.3,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-14/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-14_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
60,"marshland-soil-14","BIEBRZA_S-1",53.60501,22.87634,112.3,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-14/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-14_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
61,"marshland-soil-14","BIEBRZA_S-1",53.60501,22.87634,112.3,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-14/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-14_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
62,"marshland-soil-15","BIEBRZA_S-1",53.60578,22.8785,112.3,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-15/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-15_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
63,"marshland-soil-15","BIEBRZA_S-1",53.60578,22.8785,112.3,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-15/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-15_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
64,"marshland-soil-15","BIEBRZA_S-1",53.60578,22.8785,112.3,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-15/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-15_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
65,"marshland-soil-15","BIEBRZA_S-1",53.60578,22.8785,112.3,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-15/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-15_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
66,"marshland-soil-16","BIEBRZA_S-1",53.60655,22.88066,112.3,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-16/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-16_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
67,"marshland-soil-16","BIEBRZA_S-1",53.60655,22.88066,112.3,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-16/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-16_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
68,"marshland-soil-16","BIEBRZA_S-1",53.60655,22.88066,112.3,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-16/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-16_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
69,"marshland-soil-16","BIEBRZA_S-1",53.60655,22.88066,112.3,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-16/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-16_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
70,"marshland-soil-17","BIEBRZA_S-1",53.6063,22.87504,112.3,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-17/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-17_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
71,"marshland-soil-17","BIEBRZA_S-1",53.6063,22.87504,112.3,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-17/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-17_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
72,"marshland-soil-17","BIEBRZA_S-1",53.6063,22.87504,112.3,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-17/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-17_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
73,"marshland-soil-17","BIEBRZA_S-1",53.6063,22.87504,112.3,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-17/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-17_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
74,"marshland-soil-18","BIEBRZA_S-1",53.60707,22.87721,112.3,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-18/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-18_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
75,"marshland-soil-18","BIEBRZA_S-1",53.60707,22.87721,112.3,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-18/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-18_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
76,"marshland-soil-18","BIEBRZA_S-1",53.60707,22.87721,112.3,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-18/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-18_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
77,"marshland-soil-18","BIEBRZA_S-1",53.60707,22.87721,112.3,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-18/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-18_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
78,"marshland-soil-19","BIEBRZA_S-1",53.60784,22.87937,112.3,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-19/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-19_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
79,"marshland-soil-19","BIEBRZA_S-1",53.60784,22.87937,112.3,"0.1-0.1",0.1,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-19/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-19_sm_0.100000_0.100000_GS-3_19500101_20241016.stm"
80,"marshland-soil-19","BIEBRZA_S-1",53.60784,22.87937,112.3,"0.2-0.2",0.2,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-19/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-19_sm_0.200000_0.200000_GS-3_19500101_20241016.stm"
81,"marshland-soil-19","BIEBRZA_S-1",53.60784,22.87937,112.3,"0.5-0.5",0.5,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-19/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-19_sm_0.500000_0.500000_GS-3_19500101_20241016.stm"
82,"marshland-soil-21","BIEBRZA_S-1",53.61864,22.87695,112.3,"0.05-0.05",0.05,2015,2015,NA,0,1,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/marshland-soil-21/BIEBRZA-S-1_BIEBRZA-S-1_marshland-soil-21_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
